time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-26T04:20:00.760Z,-23.7135,-176.9366,98.07,6.4,mww,,22,5.58,1.13,us,us2000autd,2017-09-26T16:50:03.040Z,"South of the Fiji Islands",earthquake,7.3,6.1,0.073,18,reviewed,us,us
2017-09-23T12:53:02.180Z,16.7475,-94.9453,9.08,6.1,mww,,37,3.602,0.93,us,us2000atjv,2017-09-26T15:04:46.341Z,"17km SSE of Matias Romero, Mexico",earthquake,7.5,2.8,0.042,55,reviewed,us,us
2017-09-23T08:29:17.560Z,41.3116,129.0524,5,3.5,ml,,160,3.328,0.93,us,us2000ati7,2017-09-23T17:13:10.944Z,"22km ENE of Sungjibaegam, North Korea",earthquake,8.3,2,0.181,4,reviewed,us,us
